readability,read_grade,compound,neg,neu,pos,readability_text,read_grade_text,compound_text,neg_text,neu_text,pos_text,punctuation_title,punctuation_text,count_text,count_title,punctuation_ratio_text,punctuation_ratio_title,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,class
39.33,11.5,-0.128,0.09699999999999999,0.903,0.0,-8.76,32.0,0.9622,0.051,0.812,0.136,0,26,212,15,0.12264150943396225,0.0,-0.7573626637458801,0.18692435324192047,-3.1122455596923833,1.0128172636032104,-2.6214370727539062,5.535892963409424,-0.8325602412223816,-2.9927184581756587,1.5121062994003296,0.7548435926437378,4.881630420684815,-0.5796211361885071,3.75457763671875,-4.447898387908936,-0.7210484147071838,2.9569334983825684,-6.033150672912598,-0.8891496658325195,-1.4524126052856443,4.356315612792969,fake
58.28,8.4,-0.5994,0.262,0.738,0.0,62.31,11.0,0.8643,0.078,0.8220000000000001,0.1,2,99,336,13,0.29464285714285715,0.15384615384615385,1.0929847955703735,5.0588650703430185,-3.187013864517212,-1.099862813949585,-1.675974726676941,-3.3307709693908687,2.799360752105713,-2.688563823699951,2.3095462322235107,0.3845361173152924,1.3947709798812866,1.4592249393463137,3.2833287715911865,0.5181804299354553,3.851902723312378,0.33138129115104675,0.7682980895042419,-0.3826454281806946,-0.933430552482605,-0.17837072908878324,fake
79.26,4.4,0.7269,0.146,0.382,0.47100000000000003,55.03,9.6,0.9491,0.0,0.7979999999999999,0.20199999999999999,1,13,82,9,0.15853658536585366,0.1111111111111111,-2.3036909103393555,-0.031004233285784718,-1.5670231580734253,0.37294551730155945,2.1981444358825684,0.24504391849040985,-0.2222076952457428,-1.703799843788147,2.524588823318481,-0.7715511918067932,1.0176750421524048,0.4083970189094544,0.9135296940803528,-3.5067327022552486,0.6693702936172485,-1.8616751432418823,-0.6557722091674805,-2.230825901031494,2.9675567150115967,-0.863381564617157,fake
61.33,7.2,0.5574,0.11,0.588,0.301,39.68,19.6,0.978,0.04,0.8059999999999999,0.154,1,29,193,11,0.15025906735751296,0.09090909090909093,4.697678089141847,-4.730837821960449,-5.268484592437744,-0.11036382615566254,1.8273810148239136,-9.633408546447754,5.6480488777160645,-0.8708091974258423,0.058247201144695275,-3.6645586490631104,1.570335865020752,-3.021751880645752,1.6963769197463991,1.6201690435409546,1.995898962020874,4.155439853668213,0.12778405845165253,6.155486106872559,3.3991975784301762,-2.341083526611328,fake
-35.13,19.4,-0.5255,0.594,0.406,0.0,43.73,11.9,-0.3076,0.115,0.8,0.085,2,6,39,5,0.15384615384615385,0.4,1.8550143241882324,1.3045727014541626,0.6652095913887024,0.8174399137496948,0.8663883805274963,0.3192414939403534,1.7562811374664309,-0.1253325492143631,-1.5997546911239624,-0.4684531390666962,-2.7375030517578125,0.8066697120666504,0.486702173948288,-0.3941033780574799,-0.06547641009092331,0.44892764091491705,0.5565539002418518,0.177113875746727,-1.321821212768555,1.4558436870574951,fake
48.81,9.9,0.0,0.0,1.0,0.0,58.92,10.2,-0.9905,0.17600000000000002,0.727,0.09699999999999999,4,35,380,14,0.09210526315789473,0.2857142857142857,-0.6879368424415588,2.1403453350067143,-2.194647312164306,-2.142697811126709,0.40251970291137695,-1.6977169513702393,-0.997018814086914,-0.7856838703155518,5.060081958770752,2.2322583198547363,1.2350976467132568,0.053794562816619866,3.26450252532959,-1.843766570091248,2.377114772796631,-0.21324066817760468,-0.21906806528568268,-1.021064519882202,1.6106383800506592,-1.6001327037811282,fake
69.11,8.3,-0.765,0.322,0.6779999999999999,0.0,51.21,13.1,0.9871,0.048,0.8740000000000001,0.078,1,115,1282,19,0.08970358814352575,0.05263157894736842,-2.8529441356658936,-1.1003525257110596,-5.146462917327881,1.637187957763672,-1.3837199211120603,1.5475867986679075,2.3395304679870605,0.01936523988842964,1.082457184791565,2.672955274581909,-1.780911564826965,4.462719440460205,0.3862593472003937,-2.7371931076049805,1.0200791358947754,3.712836503982544,0.5080211758613586,0.4668274819850922,0.5038787722587585,0.06113338470458984,fake
49.82,9.5,0.743,0.0,0.578,0.42200000000000004,-8.04,31.8,-0.5423,0.049,0.951,0.0,0,8,70,13,0.11428571428571427,0.0,-0.6879368424415588,2.1403453350067143,-2.194647312164306,-2.142697811126709,0.40251970291137695,-1.6977169513702393,-0.997018814086914,-0.7856838703155518,5.060081958770752,2.2322583198547363,1.2350976467132568,0.053794562816619866,3.26450252532959,-1.843766570091248,2.377114772796631,-0.21324066817760468,-0.21906806528568268,-1.021064519882202,1.6106383800506592,-1.6001327037811282,fake
41.02,8.8,-0.75,0.444,0.556,0.0,35.17,13.1,0.9297,0.0,0.9229999999999999,0.077,5,38,212,10,0.1792452830188679,0.5,1.9084655046463013,9.01899242401123,0.5553756952285767,-2.8377726078033447,0.3478350341320038,-4.29683780670166,3.4567770957946777,-0.2867511510848999,0.7009512782096863,2.0680067539215092,2.6759142875671387,-1.3472236394882202,0.9834688305854796,-0.32259830832481384,4.799599170684815,-0.7192682027816772,-0.2846958637237549,-0.5208072066307068,-0.2708761394023895,0.5241797566413879,fake
22.07,11.9,0.0,0.0,1.0,0.0,21.6,20.4,-0.9665,0.11199999999999999,0.818,0.07,0,67,409,7,0.16381418092909536,0.0,1.0929847955703735,5.0588650703430185,-3.187013864517212,-1.099862813949585,-1.675974726676941,-3.3307709693908687,2.799360752105713,-2.688563823699951,2.3095462322235107,0.3845361173152924,1.3947709798812866,1.4592249393463137,3.2833287715911865,0.5181804299354553,3.851902723312378,0.33138129115104675,0.7682980895042419,-0.3826454281806946,-0.933430552482605,-0.17837072908878324,fake
61.33,7.2,-0.3612,0.217,0.7829999999999999,0.0,76.76,7.5,0.9944,0.07400000000000001,0.727,0.19899999999999998,2,50,320,11,0.15625,0.18181818181818185,2.4690499305725098,2.8304243087768555,-0.8289771080017091,0.5554947257041931,-0.396151214838028,-3.39276123046875,4.4381866455078125,1.1414045095443726,2.171108722686768,0.7351307272911072,-1.3068147897720337,0.4107935428619385,1.0386394262313845,-0.15673381090164185,2.714619874954224,-0.1000208929181099,-1.3782625198364258,-0.0063836341723799706,-1.1724374294281006,-0.33373260498046875,fake
83.66,4.8,0.0,0.0,1.0,0.0,31.72,20.6,0.0,0.087,0.8270000000000001,0.086,4,82,622,13,0.13183279742765272,0.3076923076923077,0.11048989742994307,0.1929372251033783,-0.13972732424736026,-0.0600130595266819,0.05291111022233963,0.10195496678352356,0.19768472015857694,-0.058987256139516824,-0.17327238619327545,0.07044075429439545,-0.3327271640300751,-0.15750524401664734,-0.0763578787446022,-0.1339200884103775,0.3216424286365509,-0.060344837605953223,0.02669956348836422,0.17831474542617798,0.03116806223988533,0.27652069926261896,fake
67.08,9.1,0.2732,0.11599999999999999,0.6829999999999999,0.201,71.34,7.5,0.8481,0.019,0.903,0.078,1,30,186,21,0.16129032258064516,0.047619047619047616,1.0929847955703735,5.0588650703430185,-3.187013864517212,-1.099862813949585,-1.675974726676941,-3.3307709693908687,2.799360752105713,-2.688563823699951,2.3095462322235107,0.3845361173152924,1.3947709798812866,1.4592249393463137,3.2833287715911865,0.5181804299354553,3.851902723312378,0.33138129115104675,0.7682980895042419,-0.3826454281806946,-0.933430552482605,-0.17837072908878324,fake
41.36,10.7,0.7111,0.0,0.691,0.309,35.51,15.0,-0.997,0.149,0.823,0.028999999999999998,4,74,515,13,0.1436893203883495,0.3076923076923077,1.9084655046463013,9.01899242401123,0.5553756952285767,-2.8377726078033447,0.3478350341320038,-4.29683780670166,3.4567770957946777,-0.2867511510848999,0.7009512782096863,2.0680067539215092,2.6759142875671387,-1.3472236394882202,0.9834688305854796,-0.32259830832481384,4.799599170684815,-0.7192682027816772,-0.2846958637237549,-0.5208072066307068,-0.2708761394023895,0.5241797566413879,fake
206.84,-15.7,0.0,0.0,0.0,0.0,70.13,8.0,-0.7906,0.11800000000000001,0.821,0.061,0,30,163,1,0.1840490797546012,0.0,-0.6879368424415588,2.1403453350067143,-2.194647312164306,-2.142697811126709,0.40251970291137695,-1.6977169513702393,-0.997018814086914,-0.7856838703155518,5.060081958770752,2.2322583198547363,1.2350976467132568,0.053794562816619866,3.26450252532959,-1.843766570091248,2.377114772796631,-0.21324066817760468,-0.21906806528568268,-1.021064519882202,1.6106383800506592,-1.6001327037811282,fake
29.52,11.1,0.2732,0.22899999999999998,0.382,0.389,39.84,17.5,0.6339,0.096,0.8109999999999999,0.09300000000000001,0,166,1228,8,0.13517915309446255,0.0,-0.9059928059577942,-0.2667195796966553,-1.869326114654541,-1.3980857133865356,-0.7836892604827881,-1.8978575468063357,-0.21826903522014615,-0.7203141450881958,-1.7697135210037231,-1.0904766321182249,2.8981304168701167,0.3838014602661133,2.6852197647094727,1.6865837574005127,5.880551338195801,-0.7190836071968079,-2.1305410861968994,-0.3041969239711761,1.3989851474761963,0.08076420426368712,fake
5.15,14.3,0.5423,0.0,0.632,0.368,-9.02,34.2,0.6897,0.069,0.831,0.1,0,18,240,7,0.075,0.0,-0.6879368424415588,2.1403453350067143,-2.194647312164306,-2.142697811126709,0.40251970291137695,-1.6977169513702393,-0.997018814086914,-0.7856838703155518,5.060081958770752,2.2322583198547363,1.2350976467132568,0.053794562816619866,3.26450252532959,-1.843766570091248,2.377114772796631,-0.21324066817760468,-0.21906806528568268,-1.021064519882202,1.6106383800506592,-1.6001327037811282,fake
57.27,8.8,-0.5574,0.231,0.769,0.0,-2.63,31.8,-0.9373,0.18600000000000005,0.797,0.016,0,8,76,14,0.10526315789473684,0.0,0.06596531718969345,0.1947524845600128,-0.0008021674584597349,-0.016692942008376118,0.06851180642843246,0.06203725934028625,0.13700823485851288,-0.11687158793210985,-0.0767173022031784,-0.013296606950461864,-0.07193814218044281,-0.0846547856926918,-0.015231057070195675,0.04814447835087776,0.14640997350215912,-0.07586554437875748,0.04106944054365158,0.06884429603815079,-0.07867197692394258,0.03268195316195488,fake
35.95,10.7,0.0,0.0,1.0,0.0,37.48,22.6,0.6369,0.018000000000000002,0.929,0.053,4,10,118,12,0.0847457627118644,0.3333333333333333,-0.6879368424415588,2.1403453350067143,-2.194647312164306,-2.142697811126709,0.40251970291137695,-1.6977169513702393,-0.997018814086914,-0.7856838703155518,5.060081958770752,2.2322583198547363,1.2350976467132568,0.053794562816619866,3.26450252532959,-1.843766570091248,2.377114772796631,-0.21324066817760468,-0.21906806528568268,-1.021064519882202,1.6106383800506592,-1.6001327037811282,fake
62.68,8.7,-0.4005,0.24100000000000002,0.653,0.106,32.7,18.2,0.9213,0.062,0.868,0.071,0,146,1263,17,0.11559778305621535,0.0,-0.18924307823181152,3.206993579864502,-1.5402536392211914,-1.059398889541626,0.8203599452972412,-3.201557159423828,0.08076457679271698,-2.6896867752075195,-4.342339992523193,3.597425937652588,-3.0952072143554688,-1.2431367635726929,0.05735726654529572,-0.5668041110038757,1.339315414428711,3.856517791748047,1.657958745956421,4.259631633758545,-2.127960681915283,-2.259359121322632,fake
106.67,0.1,0.0,0.0,1.0,0.0,49.42,15.9,-0.9453,0.13699999999999998,0.73,0.132,1,54,537,7,0.1005586592178771,0.14285714285714285,1.9084655046463013,9.01899242401123,0.5553756952285767,-2.8377726078033447,0.3478350341320038,-4.29683780670166,3.4567770957946777,-0.2867511510848999,0.7009512782096863,2.0680067539215092,2.6759142875671387,-1.3472236394882202,0.9834688305854796,-0.32259830832481384,4.799599170684815,-0.7192682027816772,-0.2846958637237549,-0.5208072066307068,-0.2708761394023895,0.5241797566413879,fake
93.14,3.3,0.2263,0.174,0.599,0.228,69.21,8.3,0.9728,0.043,0.773,0.184,2,24,151,13,0.15894039735099338,0.15384615384615385,-0.6879368424415588,2.1403453350067143,-2.194647312164306,-2.142697811126709,0.40251970291137695,-1.6977169513702393,-0.997018814086914,-0.7856838703155518,5.060081958770752,2.2322583198547363,1.2350976467132568,0.053794562816619866,3.26450252532959,-1.843766570091248,2.377114772796631,-0.21324066817760468,-0.21906806528568268,-1.021064519882202,1.6106383800506592,-1.6001327037811282,fake
44.41,9.6,0.0,0.0,1.0,0.0,49.49,13.8,0.987,0.035,0.85,0.114,0,32,361,10,0.0886426592797784,0.0,-0.6879368424415588,2.1403453350067143,-2.194647312164306,-2.142697811126709,0.40251970291137695,-1.6977169513702393,-0.997018814086914,-0.7856838703155518,5.060081958770752,2.2322583198547363,1.2350976467132568,0.053794562816619866,3.26450252532959,-1.843766570091248,2.377114772796631,-0.21324066817760468,-0.21906806528568268,-1.021064519882202,1.6106383800506592,-1.6001327037811282,fake
6.17,13.9,-0.5423,0.41200000000000003,0.588,0.0,37.78,16.2,-0.9947,0.139,0.7340000000000001,0.128,0,313,2076,6,0.15077071290944125,0.0,0.012021941132843494,0.024881280958652496,0.03662539646029472,0.019264649599790573,-0.009748125448822977,-0.006421681027859449,-0.02995478175580502,0.01756433956325054,0.015912093222141266,-0.008658124133944511,-0.05815272405743599,-0.005596884060651064,-0.006318820640444756,0.025907887145876884,-0.012567738071084024,0.06898479908704758,0.002782536437734961,-0.0029347543604671955,0.029855161905288693,-0.005186426453292371,fake
